OF,omega_m,lam,N_lam,NMSE_modulo,NMSE_clip,NMSE_mulaw,dB_modulo,dB_clip,dB_mulaw
2,1.0,0.45,50,2.816769642283006e-32,8231.290868289687,7.296544253399474e-32,-315.5024866851868,39.15467948579649,-311.36882779198197
2,1.0,0.2,51,1.550845841238711e-32,7033268.437544456,3.982351169620853e-32,-318.09431370224297,68.47157193372385,-313.9986044588972
2,1.0,0.15,51,1.1732500938880368,428677.9360804844,1.1732500938880368,0.6939059763846767,56.321311310844884,0.6939059763846767
2,1.0,0.1,51,1.5382612342087594,1237238119.5911236,1.5382612342087594,1.870300955052682,90.92453292250185,1.870300955052682
2,2.0,0.45,50,2.816769642283006e-32,8231.290868289687,1.0989808046798837e-31,-315.5024866851868,39.15467948579649,-309.59009893103723
2,2.0,0.2,51,1.550845841238711e-32,7033268.437544456,4.005627524604611e-32,-318.09431370224297,68.47157193372385,-313.973294373514
2,2.0,0.15,51,1.1732500938880368,428677.9360804844,1.1732500938880368,0.6939059763846767,56.321311310844884,0.6939059763846767
2,2.0,0.1,51,1.5382612342087594,1237238119.5911236,1.5382612342087594,1.870300955052682,90.92453292250185,1.870300955052682
2,3.0,0.45,50,3.0669392766119183e-32,32027116.494585082,1.3246853803009105e-31,-315.13294822678563,75.05517839479856,-308.77887256688683
2,3.0,0.2,51,2.2526401802650313,31347666023.776054,2.2526401802650313,3.526918263420174,104.96205211172196,3.526918263420174
2,3.0,0.15,51,1.1497850920102761,17653205.700112015,1.149785092010276,0.6061667333096254,72.46823581760842,0.6061667333096246
2,3.0,0.1,51,1.7233740267999835,889151518.997958,1.7233740267999835,2.3637954334876436,89.48975774758323,2.3637954334876436
4,1.0,0.45,51,2.8074995577955217e-32,1609.7196393799297,8.923657565540824e-32,-315.5168030347148,32.067502426946746,-310.4945710358872
4,1.0,0.2,52,1.331932863860485e-32,7298.599347021689,2.8002098528102556e-32,-318.75517665248105,38.63239523925394,-315.5280942062121
4,1.0,0.15,56,1.4566728793429058e-32,2173111.208338548,3.2141674675608237e-32,-318.3663796548934,63.37081951783919,-314.92931498965703
4,1.0,0.1,64,1.1568817899753077e-32,433699000.22285,1.6625198456520115e-32,-319.36711014932604,86.37188421000042,-317.7923316178082
4,2.0,0.45,51,2.8074995577955217e-32,1609.7196393799297,1.2471086717900511e-31,-315.5168030347148,32.067502426946746,-309.04095700890014
4,2.0,0.2,52,1.331932863860485e-32,7298.599347021689,3.2757338374718477e-32,-318.75517665248105,38.63239523925394,-314.8469139311835
4,2.0,0.15,56,1.4566728793429058e-32,2173111.208338548,2.7008102821040984e-32,-318.3663796548934,63.37081951783919,-315.6850592167301
4,2.0,0.1,64,1.1568817899753077e-32,433699000.22285,1.9713595289091105e-32,-319.36711014932604,86.37188421000042,-317.05234163553024
4,3.0,0.45,51,3.144144934701636e-32,1023278.964195461,1.319307161430667e-31,-315.0249744262933,60.09994046317291,-308.79654080128955
4,3.0,0.2,52,3.14212576178915e-32,622829.8882181731,4.9116319749803854e-32,-315.02776436559566,57.94369445220383,-313.0877418201817
4,3.0,0.15,56,3.1158879446237564,115810591.81587899,3.1158879446237564,4.935818309303665,80.63748280952998,4.935818309303665
4,3.0,0.1,64,3.243095572690496,24580573239.135033,3.243095572690496,5.109597473410284,103.90592006772168,5.109597473410284
6,1.0,0.45,44,2.535031355619583e-32,0.07985703484758021,9.233482718973553e-32,-315.9601666454037,-10.976868195266196,-310.34634459283257
6,1.0,0.2,54,1.2017458306658566e-32,939.2516192802942,3.591264158100936e-32,-319.2018737593695,29.727819524646108,-314.44752648846014
6,1.0,0.15,54,9.917819214113535e-33,1179.123048444125,2.876915070737552e-32,-320.0358381246238,30.71559128650511,-315.4107295870559
6,1.0,0.1,60,9.133684946954614e-33,25035.96564788723,1.3674249255923245e-32,-320.3935397282086,43.98564346981624,-318.64096507989774
6,2.0,0.45,44,2.535031355619583e-32,0.07985703484758021,1.3492725806188608e-31,-315.9601666454037,-10.976868195266196,-308.69900305109246
6,2.0,0.2,54,1.2017458306658566e-32,939.2516192802942,3.522387869953253e-32,-319.2018737593695,29.727819524646108,-314.5316282312582
